index,source_id,page_number,pos_on_page,exact_url,article_hash_url,opinion_section
9,6,1,9,http://www.dnaindia.com/delhi/report-in-delhi-farmers-jacking-up-onion-prices-1907898,a5d21cdc79510624542727021e8083b9,no
10,6,1,10,http://www.dnaindia.com/money/report-how-is-the-narendra-modi-govt-trying-to-bring-down-onion-prices-1999081,64feb659a6eb8ce4cc8f8b4cc8af24c4,no
11,6,5,1,http://www.dnaindia.com/mumbai/report-onion-prices-to-touch-r100kg-supply-hit-as-rain-wreaks-havoc-1873670,d6d6c880140ae63b5e16d049fa47c5d6,no
12,6,5,2,http://www.dnaindia.com/money/report-government-okays-bids-for-1000-tonnes-of-onion-import-to-buy-more-2119163,bdc99ae8efb6107abf32240157ddf517,no
13,6,5,3,http://www.dnaindia.com/india/report-farmers-traders-unhappy-with-onions-inclusion-in-essential-commodities-act-2013726,e824840e116318f40a594ac4a4e37145,no
14,6,5,4,http://www.dnaindia.com/mumbai/report-dna-exclusive-traders-not-farmers-making-the-most-of-soaring-onion-price-1909850,d8b046fdc54e45b4869ef0e854fed99e,no
15,6,5,5,http://www.dnaindia.com/mumbai/report-mumbai-onion-prices-continue-to-soar-in-retail-market-2128068,f85c81c6427c3bb41180c1ed9eca052f,no
16,6,5,6,http://www.dnaindia.com/india/report-soaring-onion-prices-leave-buyers-in-tears-2111457,5c3a5ed8fc7ed5cc6be28043171485ae,no
17,6,5,7,http://www.dnaindia.com/mumbai/report-few-takers-for-imported-sweet-egyptian-onions-2016708,58a1297b05b240a46ea0d622967a089b,no
18,6,5,8,http://www.dnaindia.com/money/report-vegetable-prices-down-on-easing-supply-2150353,0fc1ab07972953968134452dac4d24f5,no
19,6,5,9,http://www.dnaindia.com/mumbai/report-nashik-farmers-hit-by-falling-onion-price-demand-government-attention-2153931,db206c4d59d86a09d8fe28fbb5e7046d,no
20,6,5,10,http://www.dnaindia.com/money/report-govt-may-extend-ban-on-onion-hoarding-beyond-ceiling-by-1-year-2100099,5afe644110e1a1032de683ea11dc9916,no
21,6,2,1,http://www.dnaindia.com/money/report-wholesale-onion-price-soars-70-in-a-month-2107426,84889c67524c0b3cac81e6f8fc32065a,no
22,6,2,2,http://www.dnaindia.com/india/report-bjp-demands-cm-s-resignation-over-onion-prices-1874805,18e14dc3de695cdbe113c5087c67653e,no
23,6,2,3,http://www.dnaindia.com/money/report-onion-prices-rise-to-rs-40kg-government-to-import-10000-tonnes-2108540,c5ac4af7f783f45b56d976cdafdae2b9,no
24,6,2,4,http://www.dnaindia.com/money/report-maharashtra-government-wants-onion-mep-to-go-as-price-falls-to-rs-10kg-2153340,57ad779f17892812e7f7583e1d0e3aa0,no
25,6,2,5,http://www.dnaindia.com/money/report-onion-prices-dip-below-rs-10-per-kg-lowest-level-in-this-fiscal-so-far-2173110,e214718f8b51b1bff10d3912773ece2b,no
26,6,2,6,http://www.dnaindia.com/money/report-wholesale-onion-prices-fall-below-rs-30-per-kg-at-lasalgaon-asia-s-biggest-onion-market-2134442,dc35d6702cd01b0db55e514cf57f4a0e,no
27,6,2,7,http://www.dnaindia.com/money/report-tamil-nadu-govt-to-procure-onions-from-other-states-to-cap-prices-at-rs-55kg-2121430,569e1b0502efe0b4d4040ed676ca8d2a,no
28,6,2,8,http://www.dnaindia.com/mumbai/report-what-is-a-good-onion-substitute-2119417,d13d299ff8e724a86141c0a2455428ee,no
29,6,2,9,http://www.dnaindia.com/india/report-government-cuts-minimum-export-price-for-onions-to-usd-150-a-tonne-1941004,f9802bd017890858788de31e054468b0,no
30,6,2,10,http://www.dnaindia.com/money/report-to-control-onion-prices-delhi-government-begins-fair-price-shops-sale-2113030,89e36d4f7785f819d91055eefdd3e2ab,no
31,6,3,1,http://www.dnaindia.com/mumbai/report-maharashtra-reduces-minimum-export-price-for-onion-but-farmers-not-happy-2155038,291b152fbd2e74aa627e5de91c4808bf,no
32,6,3,2,http://www.dnaindia.com/india/report-mumbai-700-kg-onions-worth-over-rs-25000-stolen-from-vegetable-vendor-2117397,a9f1c114305d1235ff650ab8431ddf5f,no
33,6,3,3,http://www.dnaindia.com/india/report-onion-prices-likely-to-rise-due-to-strike-in-nashik-mandi-1996119,4104f75be437dd11828e67f52b1fe173,no
34,6,3,4,http://www.dnaindia.com/money/report-government-steeply-hikes-minimum-export-price-for-onion-to-425-per-tonne-2099136,43ebe2dc399d37b5b94c434cb939997f,no
35,6,3,5,http://www.dnaindia.com/india/report-wholesale-onion-prices-down-by-rs5kg-retail-rates-still-high-1892040,1b37baeb3349742866cfa7c96cd91cb2,no
36,6,3,6,http://www.dnaindia.com/money/report-drought-fears-short-supply-keep-onion-price-at-rs-40kg-in-ncr-1999885,63f0bfd84430b5a50594b3596507b148,no
37,6,3,7,http://www.dnaindia.com/india/report-indore-onion-price-to-come-down-in-a-fortnight-1894177,9aa8fa414f58fdeb063f5fcea8b1a368,no
38,6,3,8,http://www.dnaindia.com/money/report-process-onions-into-powder-paste-form-for-rainy-day-govt-2117532,e345715a338c42a3ecb8138187fe8a19,no
39,6,3,9,http://www.dnaindia.com/money/report-vegetable-pulse-prices-soar-despite-stable-inflation-in-2015-2160434,15b74b3f6891267b21c08c9288d45ee2,no
40,6,3,10,http://www.dnaindia.com/india/report-nashik-onion-thieves-strike-again-2000-kg-stolen-from-godown-2118136,77937f0295efc88f04865c6c21661290,no
41,6,4,1,http://www.dnaindia.com/money/report-rbi-s-rajan-on-the-back-foot-as-food-prices-continue-to-surge-2097745,47dcd4ea79b194212dc99db67418c351,no
42,6,4,2,http://www.dnaindia.com/mumbai/report-dwindling-stocks-pushing-onion-prices-up-1999171,8c67229925514625f05c408c05edb5c9,no
43,6,4,3,http://www.dnaindia.com/money/report-wholesale-price-inflation-hits-a-zero-lowest-in-over-5-years-2044059,3aeb1d05d645976f7b4641991d0153a7,no
44,6,4,4,http://www.dnaindia.com/pune/report-now-falling-onion-prices-bring-tears-to-farmers-1937907,8c9f5e6c60dbf7adc0db648285a0de6d,no
45,6,4,5,http://www.dnaindia.com/money/report-june-wpi-reaches-8-month-low-but-what-s-up-with-food-prices-2104739,71f612d335b7e63b394014f6373116ce,no
46,6,4,6,http://www.dnaindia.com/money/report-onion-exports-down-10-to-695-lakh-tonnes-in-apr-dec-2194612,2677bea434c027da52eb6554ee7c1544,no
47,6,4,7,http://www.dnaindia.com/money/report-30000-kilos-of-onions-sold-in-a-day-as-delhi-government-slashes-rate-2114495,3131ce0714c83c8b3426b76bf303dd5f,no
48,6,4,8,http://www.dnaindia.com/money/report-not-delhi-not-mumbai-onions-in-aizwal-registered-maximum-rise-in-prices-1885289,2c2d20dbd337b14179ca32062e5d3dac,no
49,6,4,9,http://www.dnaindia.com/india/report-tripura-government-brings-potato-onion-under-essential-commodities-act-2019460,6827bbd0c7aebbd9627ac1db80639cb8,no
50,6,4,10,http://www.dnaindia.com/money/report-wpi-retail-inflation-touch-new-lows-bolstering-rate-cut-hopes-2125243,3fa6190f2712291cae72e5a7f0401954,no

1,7,6,1,http://www.business-standard.com/article/economy-policy/govt-to-import-5-000-tonnes-more-of-pulses-to-control-prices-115091100838_1.html,83e6e13b17e1fb9ff9f3596ec6c67084,no
2,7,6,2,http://www.business-standard.com/article/economy-policy/wholesale-prices-drop-for-12th-straight-month-in-october-115111600334_1.html,7992d75e5244479fa6ac1f237d299fa9,no
3,7,6,3,http://www.business-standard.com/article/markets/onion-potato-banana-pulses-price-might-rise-in-2012-13-ncaer-112112300078_1.html,4acc54396113d2dc5430696cac6a28f8,no
4,7,6,4,http://www.business-standard.com/article/economy-policy/govt-to-import-more-pulses-use-price-stabilisation-fund-says-jaitley-115101401472_1.html,30091fb803e46af1c7054168a5a8d41c,no
5,7,6,5,http://www.business-standard.com/article/markets/onion-price-rises-on-fear-of-low-acreage-following-dry-weather-in-july-115071401147_1.html,ec425862f54990164bd342c4bd45083d,no
6,7,6,6,http://www.business-standard.com/article/pti-stories/onion-exports-fall-10-to-6-95-lakh-tonnes-in-apr-dec-116032700128_1.html,899f3daad21941f99edae3d6a1d3ceed,no
7,7,6,7,http://www.business-standard.com/article/markets/surge-in-onion-prices-on-supply-shortage-115072901005_1.html,146a80635939c7e03cb6a0ce1139807a,no
